,emb_cos_sim,eval_lang_encoded,script,family,word_order,script_lr,training_script_lr,arb_Arab,cmn_Hani,deu_Latn,guj_Gujr,heb_Hebr,hin_Deva,jpn_Jpan,kaz_Cyrl,mon_Cyrl,pan_Guru,tur_Latn,urd_Arab,step_Base,step_Labels,step_Step1,step_Step50+sbeam8
1770,0.8639367818832397,18,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0
1949,0.9185634851455688,10,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0
429,0.8484736084938049,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0
305,0.8598434329032898,12,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
2268,0.8923649787902832,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,0.0
923,0.8435003757476807,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,1.0
2032,0.8300648331642151,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.0
2302,0.9941664934158324,15,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,1.0
1892,0.8564141392707825,12,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1.0,0.0,0.0,0.0
201,0.5740879774093628,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
813,0.8966662287712097,14,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0
2341,0.9371483325958252,3,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
1598,0.7922689318656921,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
1075,0.8385989665985107,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
1174,0.8399242162704468,12,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0
785,0.923673152923584,16,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0
761,0.8403065204620361,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0
2113,0.7787711024284363,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0
1542,0.8875468969345093,15,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,1.0
1790,0.9859778881072998,10,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0
1550,0.9863091707229614,10,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,1.0
2354,0.8557883501052856,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
385,0.8757652044296265,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0
2132,0.829814612865448,12,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0
960,0.8793557286262512,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0
