model,training,eval_lang,step,pred_langs,emb_cos_sim,eval_lang_encoded,script,family,script_lr,training_script_lr,arb_Arab,cmn_Hani,deu_Latn,guj_Gujr,heb_Hebr,hin_Deva,jpn_Jpan,kaz_Cyrl,mon_Cyrl,pan_Guru,tur_Latn,urd_Arab,step_Base,step_Labels,step_Step1,step_Step50+sbeam8
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",jpn_Jpan,Base,"{'jpn_Jpan': 0.77, 'cmn_Hani': 0.14}",0.9534509181976318,9,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",kor_Hang,Step1,"{'eng_Latn': 0.11, 'jpn_Jpan': 0.22, 'cmn_Hani': 0.53}",0.8906453847885132,11,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",kor_Hang,Step50+sbeam8,"{'eng_Latn': 0.14, 'cmn_Hani': 0.55, 'jpn_Jpan': 0.17}",0.9284402132034302,11,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",kor_Hang,Base,"{'eng_Latn': 0.12, 'jpn_Jpan': 0.42, 'cmn_Hani': 0.3}",0.912419319152832,11,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",mon_Cyrl,Step1,"{'cmn_Hani': 0.59, 'eng_Latn': 0.13, 'jpn_Jpan': 0.07}",0.8744539022445679,14,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",mon_Cyrl,Step50+sbeam8,"{'cmn_Hani': 0.58, 'eng_Latn': 0.16}",0.8743945360183716,14,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",mon_Cyrl,Base,"{'jpn_Jpan': 0.37, 'eng_Latn': 0.14, 'cmn_Hani': 0.3}",0.8865650296211243,14,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",hun_Latn,Step1,"{'jpn_Jpan': 0.07, 'cmn_Hani': 0.23, 'deu_Latn': 0.16, 'eng_Latn': 0.11, 'hun_Latn': 0.06, 'tur_Latn': 0.08}",0.8743311166763306,8,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",hun_Latn,Step50+sbeam8,"{'cmn_Hani': 0.31, 'deu_Latn': 0.14, 'eng_Latn': 0.11, 'hun_Latn': 0.07}",0.8746664524078369,8,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",hun_Latn,Base,"{'jpn_Jpan': 0.2, 'deu_Latn': 0.22, 'cmn_Hani': 0.08, 'eng_Latn': 0.15, 'tur_Latn': 0.08}",0.8797668218612671,8,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",mhr_Cyrl,Step1,"{'jpn_Jpan': 0.2, 'cmn_Hani': 0.54}",0.8381307125091553,12,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",mhr_Cyrl,Step50+sbeam8,"{'jpn_Jpan': 0.11, 'eng_Latn': 0.07, 'cmn_Hani': 0.57}",0.8554568290710449,12,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",mhr_Cyrl,Base,"{'jpn_Jpan': 0.37, 'cmn_Hani': 0.33}",0.8598434329032898,12,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",fin_Latn,Step1,"{'jpn_Jpan': 0.17, 'cmn_Hani': 0.19, 'fin_Latn': 0.14, 'deu_Latn': 0.09, 'eng_Latn': 0.18}",0.8517799377441406,4,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",fin_Latn,Step50+sbeam8,"{'cmn_Hani': 0.23, 'eng_Latn': 0.2, 'fin_Latn': 0.14, 'jpn_Jpan': 0.09, 'deu_Latn': 0.09}",0.8245886564254761,4,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",fin_Latn,Base,"{'jpn_Jpan': 0.3, 'eng_Latn': 0.17, 'fin_Latn': 0.14, 'deu_Latn': 0.09}",0.882253885269165,4,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
me5_tur_urd,"['tur_Latn', 'urd_Arab']",deu_Latn,Base,{'deu_Latn': 0.72},0.9153903722763062,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0
